ACR_ID,Title,Artists,Time,Source_URL,Detail_URL
7833574e973ae4fd012c36f62ebb7a90,That's What I Like,Bruno Mars,2023-08-30 12:15:56,https://www.youtube.com/shorts/OuWD_euyr8s,https://www.aha-music.com/7833574e973ae4fd012c36f62ebb7a90?utm_source=chrome&utm_medium=extension
44e89e9a56da2e0fdb89cb7c808d9ead,Devil Eyes,ZODIVK,2023-08-30 01:03:23,https://www.youtube.com/shorts/U_FqPpyFz3E,https://www.aha-music.com/44e89e9a56da2e0fdb89cb7c808d9ead?utm_source=chrome&utm_medium=extension
89c4d99d73435a3aa19419ad00cc4311,祝福,YOASOBI,2023-08-30 00:56:22,https://www.youtube.com/channel/UCvpredjG93ifbCP1Y77JyFA,https://www.aha-music.com/89c4d99d73435a3aa19419ad00cc4311?utm_source=chrome&utm_medium=extension
6b64994b21b3a15ceba7b974bd15a719,Sweater Weather (Sped up) [Remix],DJ Fronteo,2023-08-29 21:53:09,https://www.youtube.com/shorts/brn9WkQnMew,https://www.aha-music.com/6b64994b21b3a15ceba7b974bd15a719?utm_source=chrome&utm_medium=extension
64ace9be840cf3768cb992d7dbaba295,Memory Reboot (Slowed),VØJ/Narvent,2023-08-29 18:16:38,https://www.youtube.com/shorts/b67H9CdmzB4,https://www.aha-music.com/64ace9be840cf3768cb992d7dbaba295?utm_source=chrome&utm_medium=extension
840925cda63f1d59fbb590a15b0a53fc,Falling Behind,Laufey,2023-08-29 17:27:43,https://www.youtube.com/shorts/y0_ngBV8A64,https://www.aha-music.com/840925cda63f1d59fbb590a15b0a53fc?utm_source=chrome&utm_medium=extension
6dcb3c99654d8c1374f618d6a51f51a9,Television / so Far so Good,Rex Orange County,2023-08-28 19:10:30,https://www.youtube.com/watch?v=5N8So3l41z0,https://www.aha-music.com/6dcb3c99654d8c1374f618d6a51f51a9?utm_source=chrome&utm_medium=extension
0c5beb41ec55cb738b8e890c4a608f97,Daylight,David Kushner,2023-08-25 19:57:18,https://www.youtube.com/shorts/DY2ULqWtxuk,https://www.aha-music.com/0c5beb41ec55cb738b8e890c4a608f97?utm_source=chrome&utm_medium=extension
a2160712f9f174b3e37f8d2b51c19219,给从前的自己,陈楚生/陆虎,2023-08-25 19:57:09,https://www.youtube.com/shorts/DY2ULqWtxuk,https://www.aha-music.com/a2160712f9f174b3e37f8d2b51c19219?utm_source=chrome&utm_medium=extension
7c822bcb8590111298651cb681f8d16d,Cure For Me,AURORA,2023-08-25 19:57:00,https://www.youtube.com/shorts/DY2ULqWtxuk,https://www.aha-music.com/7c822bcb8590111298651cb681f8d16d?utm_source=chrome&utm_medium=extension
